ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",30,"75 Years & Over",6051,"2017",28181,3700,"Austin, TX","16000US4805000","austin-tx","Native Born",0.029641932274059285
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,"5 to 17 Years",6051,"2017",123858,8350,"Austin, TX","16000US4805000","austin-tx","Native Born",0.13027892720628917
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,"18 to 24 Years",6051,"2017",82741,7676,"Austin, TX","16000US4805000","austin-tx","Native Born",0.08703037927284125
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,"25 to 34 Years",6051,"2017",164386,12126,"Austin, TX","16000US4805000","austin-tx","Native Born",0.1729079407687275
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",12,"35 to 44 Years",6051,"2017",110346,7788,"Austin, TX","16000US4805000","austin-tx","Native Born",0.11606645110937674
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",15,"45 to 54 Years",6051,"2017",83728,7449,"Austin, TX","16000US4805000","austin-tx","Native Born",0.08806854637672318
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",18,"55 to 59 Years",6051,"2017",40589,5632,"Austin, TX","16000US4805000","austin-tx","Native Born",0.04269317586571777
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",21,"60 & 61 Years",6051,"2017",14902,3400,"Austin, TX","16000US4805000","austin-tx","Native Born",0.015674535138853536
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",24,"62 to 64 Years",6051,"2017",18889,4191,"Austin, TX","16000US4805000","austin-tx","Native Born",0.019868225354838575
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",27,"65 to 74 Years",6051,"2017",46788,5639,"Austin, TX","16000US4805000","austin-tx","Native Born",0.049213538456360166
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,"Under 5 Years",6051,"2017",58462,4795,"Austin, TX","16000US4805000","austin-tx","Native Born",0.061492730726590755
3,"Foreign Born",10,"75 Years & Over",2017,"2017",4497,1419,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.004730129145042568
3,"Foreign Born",9,"65 to 74 Years",2017,"2017",9932,1693,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.010446885183136042
3,"Foreign Born",8,"62 to 64 Years",2017,"2017",4601,1305,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.004839520612928809
3,"Foreign Born",7,"60 & 61 Years",2017,"2017",2949,1102,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.0031018792191973613
3,"Foreign Born",6,"55 to 59 Years",2017,"2017",9404,2432,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.009891513115405894
3,"Foreign Born",5,"45 to 54 Years",2017,"2017",28859,2912,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.03035508049739459
3,"Foreign Born",4,"35 to 44 Years",2017,"2017",41927,3309,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.04410053917371575
3,"Foreign Born",3,"25 to 34 Years",2017,"2017",49674,4723,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.05224915169020336
3,"Foreign Born",2,"18 to 24 Years",2017,"2017",15035,2480,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.01581442999682344
3,"Foreign Born",1,"5 to 17 Years",2017,"2017",8903,2443,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.009364540755684676
3,"Foreign Born",0,"Under 5 Years",2017,"2017",2063,1144,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.002169948060089575
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",15,"45 to 54 Years",6048,"2016",87156,6939,"Austin, TX","16000US4805000","austin-tx","Native Born",0.09194669885019154
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",30,"75 Years & Over",6048,"2016",23317,3236,"Austin, TX","16000US4805000","austin-tx","Native Born",0.024598664200857268
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",0,"Under 5 Years",6048,"2016",64875,5037,"Austin, TX","16000US4805000","austin-tx","Native Born",0.06844098040187911
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,"5 to 17 Years",6048,"2016",126194,9716,"Austin, TX","16000US4805000","austin-tx","Native Born",0.13313049835583401
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",27,"65 to 74 Years",6048,"2016",43273,4220,"Austin, TX","16000US4805000","austin-tx","Native Born",0.04565158450759946
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",18,"55 to 59 Years",6048,"2016",38036,5196,"Austin, TX","16000US4805000","austin-tx","Native Born",0.04012672262914642
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",24,"62 to 64 Years",6048,"2016",20941,3724,"Austin, TX","16000US4805000","austin-tx","Native Born",0.02209206274521388
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",6,"18 to 24 Years",6048,"2016",85840,6591,"Austin, TX","16000US4805000","austin-tx","Native Born",0.09055836235371564
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,"25 to 34 Years",6048,"2016",167418,10469,"Austin, TX","16000US4805000","austin-tx","Native Born",0.17662045559802383
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",21,"60 & 61 Years",6048,"2016",11898,2847,"Austin, TX","16000US4805000","austin-tx","Native Born",0.012551996683183932
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",12,"35 to 44 Years",6048,"2016",112072,8333,"Austin, TX","16000US4805000","austin-tx","Native Born",0.11823225519228354
3,"Foreign Born",9,"65 to 74 Years",2016,"2016",8105,1577,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.008550507069860967
3,"Foreign Born",4,"35 to 44 Years",2016,"2016",40060,3311,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.04226197572099078
3,"Foreign Born",7,"60 & 61 Years",2016,"2016",2862,849,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.003019315389752262
3,"Foreign Born",3,"25 to 34 Years",2016,"2016",47269,4460,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.049867232410272425
3,"Foreign Born",10,"75 Years & Over",2016,"2016",5620,1133,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.005928914217472996
3,"Foreign Born",2,"18 to 24 Years",2016,"2016",13707,2476,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.014460431882366965
3,"Foreign Born",6,"55 to 59 Years",2016,"2016",8364,1687.0000000000002,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.008823743507997178
3,"Foreign Born",1,"5 to 17 Years",2016,"2016",9487,2172,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.010008471384549165
3,"Foreign Born",8,"62 to 64 Years",2016,"2016",3746,1146,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.003951906167020257
3,"Foreign Born",0,"Under 5 Years",2016,"2016",2781,1032,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.002933863067400783
3,"Foreign Born",5,"45 to 54 Years",2016,"2016",24876,2834,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.026243357664387585
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",0,"Under 5 Years",6045,"2015",61107,5384,"Austin, TX","16000US4805000","austin-tx","Native Born",0.0655767084478022
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",30,"75 Years & Over",6045,"2015",23585,3231,"Austin, TX","16000US4805000","austin-tx","Native Born",0.025310139079670328
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",3,"5 to 17 Years",6045,"2015",124769,9134,"Austin, TX","16000US4805000","austin-tx","Native Born",0.13389530391483517
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",27,"65 to 74 Years",6045,"2015",39666,4416,"Austin, TX","16000US4805000","austin-tx","Native Born",0.04256739354395604
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",6,"18 to 24 Years",6045,"2015",87786,6273,"Austin, TX","16000US4805000","austin-tx","Native Born",0.09420716002747252
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",24,"62 to 64 Years",6045,"2015",21111,3353,"Austin, TX","16000US4805000","austin-tx","Native Born",0.022655176854395605
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",9,"25 to 34 Years",6045,"2015",157506,10297,"Austin, TX","16000US4805000","austin-tx","Native Born",0.16902687156593407
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",21,"60 & 61 Years",6045,"2015",15860,3047,"Austin, TX","16000US4805000","austin-tx","Native Born",0.017020089285714284
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",12,"35 to 44 Years",6045,"2015",104789,9007,"Austin, TX","16000US4805000","austin-tx","Native Born",0.11245385473901098
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",18,"55 to 59 Years",6045,"2015",36016,4716,"Austin, TX","16000US4805000","austin-tx","Native Born",0.03865041208791209
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",15,"45 to 54 Years",6045,"2015",77959,7287,"Austin, TX","16000US4805000","austin-tx","Native Born",0.08366135817307692
3,"Foreign Born",0,"Under 5 Years",2015,"2015",1106,664,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.0011868990384615384
3,"Foreign Born",1,"5 to 17 Years",2015,"2015",7894,1898,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.0084714114010989
3,"Foreign Born",2,"18 to 24 Years",2015,"2015",13708,2113,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.014710679945054945
3,"Foreign Born",3,"25 to 34 Years",2015,"2015",53699,4183,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.05762684581043956
3,"Foreign Born",4,"35 to 44 Years",2015,"2015",44580,3759.0000000000005,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.04784083104395604
3,"Foreign Born",5,"45 to 54 Years",2015,"2015",30923,2618,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.033184881524725277
3,"Foreign Born",6,"55 to 59 Years",2015,"2015",9425,1625,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.010114397321428572
3,"Foreign Born",7,"60 & 61 Years",2015,"2015",3529,967,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.003787130837912088
3,"Foreign Born",8,"62 to 64 Years",2015,"2015",4930,1146,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.00529060782967033
3,"Foreign Born",9,"65 to 74 Years",2015,"2015",7248,1292,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.007778159340659341
3,"Foreign Born",10,"75 Years & Over",2015,"2015",4644,1233,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.0049836881868131865
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",0,"Under 5 Years",6042,"2014",62094,4365,"Austin, TX","16000US4805000","austin-tx","Native Born",0.06802600356267213
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",24,"62 to 64 Years",6042,"2014",19653,3168,"Austin, TX","16000US4805000","austin-tx","Native Born",0.021530502915212347
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",15,"45 to 54 Years",6042,"2014",79998,7516,"Austin, TX","16000US4805000","austin-tx","Native Born",0.08764041989574911
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,"75 Years & Over",6042,"2014",22651,2870,"Austin, TX","16000US4805000","austin-tx","Native Born",0.02481490976097669
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",18,"55 to 59 Years",6042,"2014",39312,5606,"Austin, TX","16000US4805000","austin-tx","Native Born",0.04306757902624677
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",9,"25 to 34 Years",6042,"2014",153685,9213,"Austin, TX","16000US4805000","austin-tx","Native Born",0.16836693331931052
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6042,"2014",38666,3828,"Austin, TX","16000US4805000","austin-tx","Native Born",0.04235986494273651
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",12,"35 to 44 Years",6042,"2014",109517,7692,"Austin, TX","16000US4805000","austin-tx","Native Born",0.11997944780772964
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",21,"60 & 61 Years",6042,"2014",13853,2892,"Austin, TX","16000US4805000","austin-tx","Native Born",0.01517641362053817
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",6,"18 to 24 Years",6042,"2014",86471,6767,"Austin, TX","16000US4805000","austin-tx","Native Born",0.0947318026551329
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",3,"5 to 17 Years",6042,"2014",121107,8372,"Austin, TX","16000US4805000","austin-tx","Native Born",0.13267667107070788
3,"Foreign Born",0,"Under 5 Years",2014,"2014",1638,840,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.0017944824594269488
3,"Foreign Born",1,"5 to 17 Years",2014,"2014",11559,2191,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.012663261751230831
3,"Foreign Born",2,"18 to 24 Years",2014,"2014",15589,2587,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.01707825827839237
3,"Foreign Born",3,"25 to 34 Years",2014,"2014",46153,3951.0000000000005,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.05056211779605126
3,"Foreign Born",4,"35 to 44 Years",2014,"2014",37024,3209,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.04056100035276151
3,"Foreign Born",5,"45 to 54 Years",2014,"2014",28557,2764,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.03128512551517422
3,"Foreign Born",6,"55 to 59 Years",2014,"2014",7455,1311,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.008167195808930343
3,"Foreign Born",7,"60 & 61 Years",2014,"2014",2648,1392,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.002900970422809866
3,"Foreign Born",8,"62 to 64 Years",2014,"2014",3780,1140,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.004141113367908344
3,"Foreign Born",9,"65 to 74 Years",2014,"2014",6581,1297,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.007209700284181166
3,"Foreign Born",10,"75 Years & Over",2014,"2014",4807,1274,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.005266225386120478
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6039,"2013",34122,4079,"Austin, TX","16000US4805000","austin-tx","Native Born",0.0385378607771497
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",6,"18 to 24 Years",6039,"2013",90058,6919,"Austin, TX","16000US4805000","austin-tx","Native Born",0.10171275616518807
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",3,"5 to 17 Years",6039,"2013",123766,8659,"Austin, TX","16000US4805000","austin-tx","Native Born",0.13978303959160393
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,"Under 5 Years",6039,"2013",59274,4406,"Austin, TX","16000US4805000","austin-tx","Native Born",0.06694487895506626
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",21,"60 & 61 Years",6039,"2013",14473,2787,"Austin, TX","16000US4805000","austin-tx","Native Born",0.01634600723954304
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",12,"35 to 44 Years",6039,"2013",95989,7806,"Austin, TX","16000US4805000","austin-tx","Native Born",0.10841130995070108
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",24,"62 to 64 Years",6039,"2013",18469,3014,"Austin, TX","16000US4805000","austin-tx","Native Born",0.020859145146626158
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",18,"55 to 59 Years",6039,"2013",37436,4729,"Austin, TX","16000US4805000","austin-tx","Native Born",0.04228073841080172
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",9,"25 to 34 Years",6039,"2013",145048,10155,"Austin, TX","16000US4805000","austin-tx","Native Born",0.16381922601266072
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",30,"75 Years & Over",6039,"2013",23965,3066,"Austin, TX","16000US4805000","austin-tx","Native Born",0.02706640388970144
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",15,"45 to 54 Years",6039,"2013",82584,7003,"Austin, TX","16000US4805000","austin-tx","Native Born",0.09327151674638447
3,"Foreign Born",3,"25 to 34 Years",2013,"2013",44598,3435.0000000000005,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.050369600695718955
3,"Foreign Born",4,"35 to 44 Years",2013,"2013",36637,3342,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.041378336712163226
3,"Foreign Born",5,"45 to 54 Years",2013,"2013",25242,2545,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.0285086654280761
3,"Foreign Born",6,"55 to 59 Years",2013,"2013",8386,1411,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.009471264887086847
3,"Foreign Born",7,"60 & 61 Years",2013,"2013",2111,783,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.0023841927231863023
3,"Foreign Born",8,"62 to 64 Years",2013,"2013",4379,1406,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.004945703427206451
3,"Foreign Born",0,"Under 5 Years",2013,"2013",1217,578,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.001374496704934974
3,"Foreign Born",9,"65 to 74 Years",2013,"2013",6137,1291,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.006931213046989265
3,"Foreign Born",1,"5 to 17 Years",2013,"2013",9353,1990,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.01056340811935646
3,"Foreign Born",10,"75 Years & Over",2013,"2013",3313,903.9999999999999,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.003741748219761355
3,"Foreign Born",2,"18 to 24 Years",2013,"2013",18858,2456,"Austin, TX","16000US4805000","austin-tx","Foreign Born",0.02129848715009346